design,method,predicted_intervention,Chapter 1,Chapter 2,Chapter 3
Qualitative,Other,Emergency food security interventions,,,
Quasi-experimental,Fixed effects (incl. DiD),Digital supervision of China Basic Medical Insurance funds,,,
Quasi-experimental,Statistical matching,"Disaster resettlement program (including types such as poverty alleviation relocation, centralized resettlement, and short-distance relocation) implemented in Ankang Prefecture, Southern Shaanxi Province, China",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's smart agriculture policy to promote agricultural modernization and reduce agricultural carbon emissions.,,,
Quasi-experimental,Fixed effects (incl. DiD),Targeted intergovernmental fiscal transfers to marginalized counties in Kenya following decentralization reforms,,,
Qualitative,Other,"Mental health and psychosocial support interventions for refugee women, including community-based programs, empowerment and economic security initiatives, group-based care for social connection, Mindfulness Based Interventions, Cognitive Processing Therapy, and Culturally Adapted Cognitive Behavioral Therapy.",,,
Quasi-experimental,Interrupted time series analysis,Larval source management (LSM) strategy implemented in response to Anopheles stephensi to control malaria incidence.,,,
Quasi-experimental,Fixed effects (incl. DiD),Scale breeding (large-scale swine breeding operations) to stabilize swine production volatility,,,
Quasi-experimental,Fixed effects (incl. DiD),Unconditional cash transfer to poor households via the Uruguayan PANES program,,,
Quasi-experimental,Fixed effects (incl. DiD),"Public guarantee scheme to promote private financing for family farmers through the Family Agriculture Financing Program (Proaf), implemented via Savings and Loan Cooperative Societies in Mexican municipalities.",,,
Quasi-experimental,Fixed effects (incl. DiD),Child-centred cash transfers (Brazil’s Bolsa Família and South Africa’s Child Support Grant) targeted to caregivers of different sexes,,,
Quasi-experimental,Statistical matching,Implementation of public–private partnership (PPP) projects in low- and middle-income countries,,,
Quasi-experimental,Fixed effects (incl. DiD),Substantial increases in the minimum wage in Türkiye,,,
Quasi-experimental,Fixed effects (incl. DiD),Gradual introduction and reform of the Integrated Medical Insurance Scheme (IMIS) in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Economic sanctions imposed on countries,,,
Quasi-experimental,Fixed effects (incl. DiD),"Paving of the Interoceanic Highway in Madre de Dios, Peru, which increased regional human mobility",,,
Quasi-experimental,Statistical matching,"State-funded social health insurance programme (SCP) providing inpatient health services to beneficiaries in Khyber Pakhtunkhwa Province, Pakistan",,,
Experimental,Randomised controlled trial,"Stepping Stones and Creating Futures Plus (SSCF+), a participatory gender-transformative and livelihood-strengthening program targeting emotional dysregulation among young men.",,,
Quasi-experimental,Statistical matching,Direct cash transfer to small and marginal farmers through the PM-KISAN scheme,,,
Quasi-experimental,Synthetic control,The 1949 Peronist constitutional reform in Argentina,,,
Quasi-experimental,Fixed effects (incl. DiD),"Demonetisation event in India (November 2016), with variation by state-level political alignment (BJP ruled vs. non-BJP ruled states)",,,
Quasi-experimental,Fixed effects (incl. DiD),Government-supported policy facilitating migrant workers returning to hometowns for entrepreneurship,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the SADC Free Trade Area (FTA) in 2012,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the water rights trading policy pilot in selected provinces in China,,,
Qualitative,Other,"Nature-based solutions (NbS) for water resource management, including water conservation, soil moisture conservation, water harvesting, conservation agriculture, agroforestry, and afforestation in Africa's arid and semi-arid lands",,,
Qualitative,Other,"Social assistance programmes, including cash transfers and cash-plus programmes (integrating consumption support with livelihood interventions)",,,
Qualitative,Other,Nature-based solutions (NbS) interventions such as nature-based food production investments and community-involved projects for economic recovery,,,
Quasi-experimental,Instrumental variable estimation,"Place-based rural development programs in Taiwan, specifically subsidies supporting culture and promotion-related activities for farm households",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of strict farmland protection policy leading to compulsory removal (cutting) of trees from farmland (prohibition of forestation on cultivated land),,,
Experimental,Randomised controlled trial,"Exposure to news reports about corrupt politicians from different sources (state communications, newspapers, named journalists on social media, anonymous journalists on social media) embedded within a survey.",,,
Quasi-experimental,Fixed effects (incl. DiD),Mandatory CSR spending regulation imposed by the 2013 Companies Act in India on foreign subsidiaries,,,
Quasi-experimental,Statistical matching,Climate-smart agricultural practices,,,
Experimental,Randomised controlled trial,Skill-based health education (SBHE) delivered weekly by para-teachers; cross-cutting soap provision to selected schools,,,
Quasi-experimental,Synthetic control,Enactment of state-level laws promoting Civil Society Organizations (CSOs) in three Mexican states,,,
Quasi-experimental,Fixed effects (incl. DiD),Savings-led microfinance programme (village savings and loan association) for South Sudanese refugees in Uganda,,,
Experimental,Randomised controlled trial,A text message reminder scheme implemented by the Uganda Revenue Authority to increase tax compliance.,,,
Quasi-experimental,Fixed effects (incl. DiD),"Border fortification in Afghanistan, specifically the implementation and strengthening of border barriers to increase state legibility, monitoring, and control in borderland areas.",,,
Quasi-experimental,Statistical matching,"Combination of credit access, structured market, and entrepreneurial training for maize farmers",,,
Quasi-experimental,Statistical matching,"National Program of Direct Support to the Poorest (JUNTOS) in Peru, which provides economic transfers to poor households",,,
Experimental,Randomised controlled trial,"Conditional cash transfer programs providing routine, exogenous income increases to poor households",,,
Experimental,Randomised controlled trial,Provision/adoption of an iron toxicity-tolerant rice variety (ARICA 6) among smallholder rice farmers,,,
Experimental,Randomised controlled trial,Randomized federal audits of municipal fiscal accounts,,,
Quasi-experimental,Fixed effects (incl. DiD),U.S. economic sanctions imposed on Iranian firms,,,
Quasi-experimental,Fixed effects (incl. DiD),Subsidized on-site management consultancies about lean manufacturing techniques provided to manufacturing establishments via the More Productive Brazil Program (BMP),,,
Quasi-experimental,Regression discontinuity design,Social tariff coverage policy (electricity subsidies for eligible households),,,
Experimental,Randomised controlled trial,Provision of safe drinking water at schools,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Financial Discipline Law for States and Municipalities (LDFEM) as a national fiscal rule affecting fiscal behavior of Mexican municipalities,,,
Quasi-experimental,Interrupted time series analysis,Ulaanbaatar’s 2019 raw coal ban,,,
Quasi-experimental,"Fixed effects (incl. DiD), Statistical matching",Provision of subsidized LPG connections to poor households under the Pradhan Mantri Ujjwala Yojana (PMUY),,,
Quasi-experimental,Instrumental variable estimation,"World Vision project promoting climate-smart agriculture (CSA) practices, specifically farmer-managed natural regeneration (FMNR)",,,
Experimental,Randomised controlled trial,"Information feedback on electricity usage (self-comparison, social comparison, goal setting) delivered to households based on real-time smart meter data",,,
Quasi-experimental,Instrumental variable estimation,Access to microcredit programs for rural households,,,
Quasi-experimental,"['Fixed effects (incl. DiD)', 'Instrumental variable estimation']","Membership and participation in the Belt and Road Initiative, specifically through associated mega-infrastructure investments and related economic cooperation.",,,
Experimental,Randomised controlled trial,"Randomized provision of three types of information interventions (positive, negative, neutral) about waste sorting to urban residents",,,
Experimental,Randomised controlled trial,Introduction of monitoring devices in commuter minibuses and random provision of access to the monitoring data via a mobile app for minibus owners,,,
Quasi-experimental,Fixed effects (incl. DiD),Conversion from surface irrigation to drip irrigation as part of Morocco's National Program for Water Saving in Irrigation,,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment of Special Economic Zones (SEZs) in India between 2005 and 2013,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Forest Carbon Sink Project (FCSP) in impoverished counties in China,,,
Quasi-experimental,Synthetic control,"Participation in the Belt and Road Initiative (BRI) compared to non-participation, as it affects net foreign direct investment (FDI)",,,
Quasi-experimental,Fixed effects (incl. DiD),"Expansion and enhancement of socialized agricultural services (including measures such as increased use of machinery, efficiency of labor division, and development of rural digital infrastructure)",,,
Experimental,Randomised controlled trial,Sending tax notification letters with different messages (triggering deterrence or reciprocity beliefs) to property tax payers in two Mozambican municipalities.,,,
Quasi-experimental,Fixed effects (incl. DiD),Successive agricultural support and protection subsidy policies introduced in 2015 in China,,,
Quasi-experimental,Regression discontinuity design,"Introduction of China’s New Rural Pension Scheme, providing social pensions to the rural elderly",,,
Experimental,Randomised controlled trial,"Provision of agricultural information to smallholder farmers, including (i) agronomic technical information, (ii) productivity and profitability information, and (iii) pooled information on both, among beneficiaries of the Ethiopian Rural Productive Safety Net Program.",,,
Quasi-experimental,Statistical matching,Establishment and management of Protected Areas (with varying regimes) aimed at reducing deforestation compared to unprotected forest landscapes,,,
Experimental,Randomised controlled trial,"Nudges via messages from the tax authority during a tax amnesty, emphasizing deterrence laws, expectations of future amnesties, and tax morale, aimed at increasing debt payment and disclosure.",,,
Quasi-experimental,Fixed effects (incl. DiD),Expansion of mobile phone networks (roll-out of mobile phone towers) in rural Mongolia,,,
Quasi-experimental,Synthetic control,Community forestry (CF) implementation and certification in mangrove areas,,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of a single national minimum wage policy in Malaysia, compared to alternatives such as regional wage rates",,,
Quasi-experimental,Fixed effects (incl. DiD),Construction and operation of utility-scale wind and solar parks in Brazilian municipalities,,,
Quasi-experimental,Fixed effects (incl. DiD),"Introduction of the Insolvency and Bankruptcy Code (IBC) in India in 2016, which enhanced creditors’ rights and streamlined the bankruptcy process",,,
Experimental,Randomised controlled trial,"Information (education) campaign on proper kitchen towel use and in-kind subsidies of kitchen towels (price intervention), with variations in subsidy size",,,
Quasi-experimental,Instrumental variable estimation,Agricultural knowledge and technology training (AKT) provided to farmers to promote adoption of sustainable agricultural practices (SAPs),,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment of protected areas and implementation of regional conservation policies,,,
Quasi-experimental,Statistical matching,Rural collective property rights reform,,,
Quasi-experimental,Fixed effects (incl. DiD),Crop Insurance Premium Subsidies Program (CISP),,,
Quasi-experimental,Statistical matching,"Southern Shaanxi Disaster Resettlement program (involving different types of relocation, follow-up support measures, and changes in livelihood resilience resulting from a government resettlement initiative for households affected by natural disasters in Ankang Prefecture, China)",,,
Quasi-experimental,Statistical matching,Universal Child Allowance (AUH) conditional cash transfer program in Argentina,,,
Experimental,Randomised controlled trial,Provision of simple binary information to farmers about the expected effectiveness of nitrogen fertilizer based on a soil parameter (oxalate-extractable phosphorus content) for rice plots.,,,
Quasi-experimental,Fixed effects (incl. DiD),"Exposure to early childhood education (ECE) among village leaders, analyzing its effect on their likelihood to engage in corrupt behavior when managing public funds post-2014 Village Fund Initiative in Indonesia.",,,
"['Quasi-experimental', 'Experimental']","['Fixed effects (incl. DiD)', 'Randomised controlled trial']","['Construction of new public transportation lines (Chapter 1)', 'Higher education reform regulating university quality and licensing (Chapter 2)', 'Weekly science workshops for primary school girls (Chapter 3)']",,,
Quasi-experimental,"Fixed effects (incl. DiD), Statistical matching",Implementation of the Incentive Program for Alternative Energy Sources (PROINFA) providing renewable energy sources to selected municipalities,,,
Quasi-experimental,Fixed effects (incl. DiD),"China’s fourth round of the poverty alleviation program, which allocated economic development funding to 14 contiguous destitute areas from 2012 to 2019",,,
Experimental,Randomised controlled trial,"Edutainment intervention addressing child marriage decisions, with information provided to women only, men only, or both in rural Pakistan.",,,
Quasi-experimental,Statistical matching,Government antipoverty support policies and household self-help efforts via commercialisation,,,
Quasi-experimental,Regression discontinuity design,Paid maternity leave policy offering up to one year of paid leave at 65% of monthly income before birth in Romania,,,
Quasi-experimental,Statistical matching,Morocco’s Agency for Adult Education 'Literacy for Empowerment' program for adult literacy development,,,
Quasi-experimental,Fixed effects (incl. DiD),"Regional reduction in corporate income tax rates implemented in Turkey starting in 2009, targeting selected regions to promote investment and employment.",,,
Quasi-experimental,Statistical matching,Agricultural input subsidy to smallholder farmers to mitigate COVID-19 effects,,,
Quasi-experimental,Fixed effects (incl. DiD),Village banking program to increase supply of rural finance,,,
Experimental,Randomised controlled trial,Random assignment of gender quotas for council representation in rural Indian villages,,,
Quasi-experimental,Fixed effects (incl. DiD),2016 policy allowing retirement-eligible individuals in Peru’s private pension system to withdraw retirement benefits as a lump sum rather than as an annuity,,,
Quasi-experimental,Fixed effects (incl. DiD),Income-generating interventions using contemporary agricultural methods and infrastructure development implemented by CybageAsha in 19 villages to improve sustainable agriculture and farmers' livelihoods,,,
Quasi-experimental,Instrumental variable estimation,"Farm input subsidies, food and cash transfers, irrigation investments",,,
Quasi-experimental,Fixed effects (incl. DiD),Construction of farm ponds under the MGNREGA scheme for use as protective irrigation in agricultural areas,,,
Experimental,Randomised controlled trial,"Introduction of a productivity-increasing production method in brick kilns, with a second component providing information to kiln owners about incentivizing workers to enhance adoption of the method.",,,
Quasi-experimental,Fixed effects (incl. DiD),Reduction in capital goods tariffs due to trade reform in Colombia,,,
Quasi-experimental,Fixed effects (incl. DiD),Sustainable Agricultural Production Programme (SAPP) promoting good agricultural practices through information dissemination and learning activities in rural Malawi,,,
Quasi-experimental,Fixed effects (incl. DiD),Cartão Mais Infância Ceará (CMIC) cash transfer program,,,
Quasi-experimental,Interrupted time series analysis,Implementation of the fiscal austerity policy (PAF) in the first semester of 2015 affecting health budget allocations in Brazilian municipalities,,,
Quasi-experimental,Fixed effects (incl. DiD),Reduction in pension insurance contribution rates for firms in China,,,
Experimental,Randomised controlled trial,Modification of PES contracts to require full enrollment of all forest parcels versus traditional contracts allowing selective enrollment,,,
Quasi-experimental,Instrumental variable estimation,Implementation of minimum wage policies in Chinese counties,,,
Quasi-experimental,"Statistical matching, Fixed effects (incl. DiD)","Solar energy-based productive interventions (solar energy for cotton yarn production) for beneficiaries in Amravati district, Maharashtra, India",,,
Quasi-experimental,Statistical matching,IDMAJ wage subsidy program,,,
Quasi-experimental,Fixed effects (incl. DiD),"Broadcast of MTV Shuga Naija, an entertainment-education TV serial drama designed to promote gender equality and challenge norms around sexual violence",,,
Quasi-experimental,Instrumental variable estimation,"Trade liberalization (reduction of tariffs) in India, including the Make-in-India initiative",,,
Quasi-experimental,Fixed effects (incl. DiD) and Statistical matching,Formalization (legal registration) of community-based forest management in Thailand,,,
Quasi-experimental,Fixed effects (incl. DiD),2016 Indonesian debt-to-equity cap reform (thin capitalization rule) restricting debt tax benefits,,,
Quasi-experimental,Statistical matching,Urban Productive Safety Net Program (support for poor households through public work and safety net mechanisms in urban areas),,,
Quasi-experimental,Statistical matching; Instrumental variable estimation,Use of mobile money services to improve household resilience to health shocks,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of trading permits for informal sector entrepreneurs in South Africa,,,
Quasi-experimental,Synthetic control,Imposition of international economic sanctions on Iran post-2012,,,
Quasi-experimental,Fixed effects (incl. DiD),"Changes in the distribution and type of rural credit provided through the National Rural Credit System, especially focusing on credit for livestock activity, investment, subsidies, and uncontrolled credit.",,,
Quasi-experimental,Fixed effects (incl. DiD),Conditional cash transfer program (Kanyashree Prakalpa) providing annual scholarships and lump-sum payment to girls contingent on staying in school and delaying marriage,,,
Quasi-experimental,Instrumental variable estimation,Participation in IMF programs and the size of IMF-supported programs (measured by disbursement amounts) in Low-Income Countries,,,
Experimental,Randomised controlled trial,Integrated approach combining various poverty reduction measures targeting constraints faced by poor households,,,
Quasi-experimental,Statistical matching,Removal (apprehension) of criminal group leaders (kingpin strategy) in Mexican municipalities,,,
Experimental,Randomised controlled trial,"Ethics and integrity training program for police officers, designed to promote intrinsic motivation to serve the public and foster a shared identity as 'Agent of Change'.",,,
Quasi-experimental,Fixed effects (incl. DiD),Land expropriation of some villagers’ land (with a focus on the effect on neighboring farmers who have not had their own land expropriated),,,
Quasi-experimental,Fixed effects (incl. DiD),Expansion/initiation of social safety nets (government and NGO cash transfer programs) during COVID-19,,,
Quasi-experimental,Statistical matching,Presence of mining projects in the Benishangul-Gumuz Region (households living near mining projects vs. those in areas without mining projects),,,
Quasi-experimental,Fixed effects (incl. DiD),Economic sanctions on Russia imposed in 2014,,,
Experimental,Randomised controlled trial,"A school-based WASH (Water, Sanitation and Hygiene) programme involving improvements to drinking water storage, filtration and access, handwashing stations, and behaviour change promotion in public primary schools in Addis Ababa, Ethiopia. Planned sanitation improvements were not realised.",,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA), specifically the construction of program-financed surface water infrastructure aimed at enhancing aquifer recharge and groundwater levels.",,,
Quasi-experimental,Regression discontinuity design,Exposure to coercive cotton cultivation policies enforced in colonial Mozambique between 1926 and 1961,,,
Quasi-experimental,Fixed effects (incl. DiD),"Analysis of customs policy changes and trade facilitation strategies (e.g., improved customs procedures, liberalization of customs procedures, adoption of regional trade agreements) to assess their impact on Egypt’s trade performance within economic blocs.",,,
Experimental,Randomised controlled trial,"Combined economic and relationship-strengthening intervention (Mlambe), including incentivized savings accounts, financial literacy education, relationship education, and couples counseling sessions.",,,
Quasi-experimental,Fixed effects (incl. DiD),National sanitation program (Swachh Bharat Mission) providing household toilets,,,
Experimental,Randomised controlled trial,Standard labour inspections conducted on randomly selected small and medium firms (SMEs) in Chile,,,
Experimental,Randomised controlled trial,Introduction of operational practices to improve energy efficiency and reduce emissions in zigzag brick kilns,,,
Experimental,Randomised controlled trial,Provision of local public infrastructure investments in randomly selected areas,,,
Experimental,Randomised controlled trial,"Randomly enforced mandate for Occupational Safety and Health (OSH) committees in supplier factories in Bangladesh, in collaboration with multinational apparel buyers.",,,
Quasi-experimental,Fixed effects (incl. DiD),"Introduction of a new risk-based case selection method for tax examinations, supplemented by staff training and improvements in management practices in the Tanzanian Revenue Authority.",,,
Quasi-experimental,Instrumental variable estimation,Allocation of fiscal poverty alleviation funds to impoverished areas at the provincial level in China,,,
Quasi-experimental,Synthetic control,Participation and graduation from China’s National Poor Counties (NPCs) anti-poverty program,,,
Quasi-experimental,Fixed effects (incl. DiD),"China’s Targeted Poverty Alleviation (TPA) policy, which includes infrastructure improvements, resource provision, and programs aimed at enhancing family capacity, targeted at poor households.",,,
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the list of Municípios Prioritários policy, which allocates additional resources to verify compliance with environmental laws in municipalities with high deforestation rates.",,,
Quasi-experimental,Instrumental variable estimation,Land titling program with a focus on procedural fairness in implementation,,,
Quasi-experimental,Fixed effects (incl. DiD),"Agricultural interventions and policy regimes aimed at improving income, employment, and well-being in wetland areas, including crop diversification, rice variety development, flood control, and protective measures.",,,
Qualitative,Other,Interventions to support evidence-informed policy decision-making by policymakers,,,
Qualitative,Other,Conditional Cash Transfers (CCTs) and Unconditional Cash Transfers (UCTs),,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Comprehensive Agricultural Water Use Reform Policy (CAWURP) in China,,,
Quasi-experimental,Fixed effects (incl. DiD),"Reform of the 'three subsidies' policy—shifting subsidization from contracted area to actual operational area, affecting rural household incomes via changes in agricultural subsidies.",,,
Quasi-experimental,Instrumental variable estimation,"Graduation from the International Development Association (IDA) income threshold, leading to a drop in foreign aid to selected developing countries",,,
Experimental,Randomised controlled trial,"A 6-month, audio-only early childhood development (ECD) intervention delivered via phone (3 calls per month) to caregivers of Syrian and Jordanian backgrounds in Jordan, featuring added parenting and caregiver-focused content adapted from the Reach Up and Learn model.",,,
Experimental,Randomised controlled trial,Installation of concrete floors in households with soil floors,,,
Quasi-experimental,Fixed effects (incl. DiD),Unconditional cash transfers (via the BISP program) provided to households in Pakistan,,,
Quasi-experimental,Statistical matching,"Contract governance between farmers and cooperatives (including cooperative supervision, technical guidance, and product premium perception) to regulate and reduce the overuse of antimicrobials in hog farming.",,,
Quasi-experimental,Fixed effects (incl. DiD),Introduction of the Long-Term Care Insurance (LTCI) pilot policy in selected regions in China,,,
Experimental,Randomised controlled trial,"Social innovation economic development program implemented in rural highland communities of Peru, focused on restructuring household income and livelihood activities towards entrepreneurial and specialized labor ventures.",,,
Experimental,Randomised controlled trial,Family therapy for Kosovar mothers who experienced conflict-related sexual violence and their children,,,
Quasi-experimental,Regression discontinuity design,Tax simplification program in Indonesia,,,
Quasi-experimental,Statistical matching,Financial incentives (public funding) for corporate research and development (R&D),,,
Quasi-experimental,Fixed effects (incl. DiD),Foreign direct investment (FDI) presence in localities with varying institutional quality impacting SMEs' R&D investment,,,
Quasi-experimental,Fixed effects (incl. DiD),China’s foreign direct investment (FDI) inflows into African countries,,,
Quasi-experimental,Fixed effects (incl. DiD),Provision and participation in Agricultural Social Services (ASS) aimed at reducing pesticide inputs among farming households,,,
Quasi-experimental,Instrumental variable estimation,Trade liberalization reforms implemented in Pakistan between 1988 and 2005,,,
Quasi-experimental,Other,"Africa–China cooperation through eco-innovation, Chinese investment (FDI), and trade (exports and imports), and analysis of their combined effect on green growth and undernourishment in African countries.",,,
Quasi-experimental,Interrupted time series analysis,Implementation of Uber ride-sharing system in Brazilian capital cities,,,
Quasi-experimental,Instrumental variable estimation,"Productive Social Safety Net (PSSN) program, including conditional cash transfers and public works",,,
Experimental,Randomised controlled trial,"A training project on financial inclusion and livelihood enhancement, providing multi-faceted support to randomly selected Conditional Cash Transfer (CCT) beneficiaries based on a graduation approach.",,,
Quasi-experimental,Fixed effects (incl. DiD),"Deployment of piped water supply infrastructures through the Emergency Program for Community Development (PUDC) in rural Senegal, including comparison with community-led water supply initiatives and bundling with rural road construction.",,,
Quasi-experimental,Statistical matching,Livestock and dairy development project (LDDP) for rural livestock farming households,,,
Quasi-experimental,Instrumental variable estimation,Perceived government information disclosure regarding waste disposal facilities,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Chiefdom Land Committees (CLCs) as informal dispute-resolution forums for land disputes in Sierra Leone,,,
Quasi-experimental,Fixed effects (incl. DiD),"A 4-week Water, Sanitation, and Hygiene (WaSH) intervention involving distribution of WaSH kits combined with education to mothers of under-five children in tribal villages.",,,
Experimental,Randomised controlled trial,Two different packages of implementation strategies (varying in intensity) for delivering the GlobalConsent web-based educational program to university men in Vietnam,,,
Quasi-experimental,Interrupted time series analysis,Jordanian National Strategy for Women Empowerment (JNSWE) from 2013 to 2017 and its Gender Action Plan for STEM Field,,,
Quasi-experimental,Statistical matching,"Subsidized rice seed provision through Nepal’s Seed Subsidy Programme (SSP), offering up to 50% discount on improved rice seed varieties to rice-growing households.",,,
Quasi-experimental,Regression discontinuity design,Provision of rural roads (improved access to rural roads),,,
Quasi-experimental,Instrumental variable estimation,Anchor Borrower Program (ABP) targeting rice farming households,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of deposit insurance in China in 2015,,,
Quasi-experimental,Statistical matching,Access to Pronaf credit program for family farmers (including Pronaf B and Pronaf V typologies),,,
Quasi-experimental,Fixed effects (incl. DiD),Chinese energy investment in African countries,,,
Quasi-experimental,Regression discontinuity design,"Implementation of China's Great Western Development (GWD) poverty alleviation policy, which focused on considerable public investments to improve basic infrastructure in targeted regions.",,,
Qualitative,Other,Resocialization programs for female inmates and former inmates in Latin American prisons,,,
Qualitative,Other,"Ecological forest restoration initiatives, including agroforestry systems, forest and landscape restoration, and selective logging assessments",,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Farmland 'Three Rights Separation' (TRS) land system reform in selected provinces in China,,,
Quasi-experimental,Fixed effects (incl. DiD),Chinese investment in African countries,,,
Quasi-experimental,Synthetic control,Establishment of Special Economic Zones (SEZs) in selected districts of the Lao People’s Democratic Republic,,,
Quasi-experimental,Fixed effects (incl. DiD),"China’s Targeted Poverty Alleviation (TPA) program, including mechanisms such as provision of microcredit to poor households",,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment of national marine pasture demonstration zones,,,
Quasi-experimental,Fixed effects (incl. DiD),"Targeted Poverty Alleviation policy (TPA) implemented in China starting 2015, aimed at reducing poverty and improving healthcare utilization for older adults.",,,
Experimental,Randomised controlled trial,"Information/education intervention providing rural farmers with information about the social and economic consequences of agricultural burning, with three different treatment arms and a control group.",,,
Quasi-experimental,Regression discontinuity design,Implementation of China's natural forest logging ban (NFLB) policy in key state-owned forest regions in Northeast China,,,
Quasi-experimental,Fixed effects (incl. DiD),"China’s Rural Revitalization Assistance Policy implemented across villages, targeting disadvantaged rural households.",,,
Quasi-experimental,Instrumental variable estimation,Distribution of taxi permits via lottery to severely affected households as a disaster recovery policy,,,
Quasi-experimental,Regression discontinuity design,"First COVID-19 lockdown in Madagascar affecting use of a mobile maternal health wallet for savings, payments, and voucher use",,,
Quasi-experimental,Fixed effects (incl. DiD),"China’s South-to-North Water Diversion Project (SNWDP), representing a large-scale reallocation of water resources to analyze its impact on entrepreneurship in recipient regions.",,,
Quasi-experimental,Instrumental variable estimation,Malawi’s Farm Input Subsidy Program (FISP),,,
Quasi-experimental,Fixed effects (incl. DiD),Establishment and operation of Chinese Agricultural Technology Demonstration Centers (ATDC) in African countries,,,
Quasi-experimental,Statistical matching,Participation in contract farming arrangements for red chilli farmers,,,
Quasi-experimental,Fixed effects (incl. DiD),Appointment of officials to high public administration positions in their native departments and the resulting allocation of Public Investment Budget (BIP) to those departments.,,,
Quasi-experimental,Instrumental variable estimation,Access to electricity for households or communities (affecting women's labour and time use),,,
Quasi-experimental,"Fixed effects (incl. DiD), Statistical matching",EU grants to small and medium-sized enterprises (SMEs) under the Operational Programme ‘Innovation and Competitiveness’ (2014–2020) in Bulgaria,,,
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Law on Environmental Protection (LEP) 2014 in Vietnam affecting SMEs,,,
Quasi-experimental,Instrumental variable estimation,Promotion of Agricultural Stakeholder Panels (ASPs) to enhance farmer interaction with local agricultural extension agents and improve access to quality extension services in rural communities.,,,
Quasi-experimental,"Fixed effects (incl. DiD), Statistical matching (Propensity Score Matching)",Value Chain Development Programme (VCDP) targeting rice farmers to improve net farm income,,,
Quasi-experimental,Fixed effects (incl. DiD),"Producer organization avocado contract farming intervention (agreement to sell to an export company, access to training, support for GLOBALG.A.P. certification)",,,
Experimental,Randomised controlled trial,Low-cost kitchen with improved cookstove installed in households of pregnant women using traditional cookstoves.,,,
Quasi-experimental,Statistical matching,Employment Protection Programme (EPP) with work-sharing and wage subsidies,,,
Quasi-experimental,Fixed effects (incl. DiD),Maternity cash transfer programme providing pregnant and lactating women with cash payments conditional on visits to public health centres,,,
