design,method,intervention
Other,Other,Social assistance programmes providing cash or support to African households during crises
Qualitative,Other,Implementation of nature-based interventions for economic recovery and resilience
Quasi-experimental,Instrumental variable estimation,Subsidies for culture and promotion activities in rural development programs
Quasi-experimental,Fixed effects (incl. DiD),Compulsory removal of trees from farmland per China’s farmland protection policy
Experimental,Randomised controlled trial,Exposure to corruption news from different media sources in survey experiment
Quasi-experimental,Fixed effects (incl. DiD),Mandatory CSR spending policy for qualifying foreign subsidiaries in India
Quasi-experimental,Statistical matching,Adoption of climate-smart agricultural practices by vulnerable farmers
Experimental,Randomised controlled trial,Weekly skill-based health education sessions delivered to primary schools by para-teachers
Quasi-experimental,Synthetic control,Enactment of laws promoting civil society organizations (CSOs) in Mexican states
Quasi-experimental,Fixed effects (incl. DiD),Village savings and loan programme participation by South Sudanese refugees
Experimental,Randomised controlled trial,Text message reminders to improve tax compliance among Ugandan taxpayers
Quasi-experimental,Fixed effects (incl. DiD),Government fortification of borders to increase state presence and security
Quasi-experimental,Statistical matching,"Provision of credit, structured markets, and entrepreneurial training to maize farmers"
Quasi-experimental,Statistical matching,Direct cash transfers to the poorest households through the JUNTOS program
Experimental,Randomised controlled trial,Conditional cash transfers to extremely poor households
Experimental,Randomised controlled trial,Distribution of iron toxicity-tolerant rice variety ARICA 6 to farmers
Experimental,Randomised controlled trial,Randomized fiscal audits of municipal federal funds in the Brazilian Amazon
Quasi-experimental,Fixed effects (incl. DiD),Imposition of U.S. economic sanctions on Iranian firms
Quasi-experimental,Fixed effects (incl. DiD),Subsidized on-site management consultancy on lean manufacturing techniques to firms
Quasi-experimental,Regression discontinuity design,Social tariff electricity subsidies for eligible households
Quasi-experimental,Fixed effects (incl. DiD),Provision of safe drinking water in public schools
Quasi-experimental,Difference-in-Differences,Implementation of national fiscal rules via the Financial Discipline Law for local governments
Quasi-experimental,Interrupted time series analysis,Ban on use of raw coal in Ulaanbaatar
Quasi-experimental,Fixed effects (incl. DiD),Provision of subsidized LPG connections to poor households under PMUY
Quasi-experimental,Instrumental variable estimation,Promotion of climate-smart agriculture and farmer-managed natural regeneration practices
Experimental,Randomised controlled trial,Providing households with real-time electricity usage feedback and behavioral comparisons
Quasi-experimental,Instrumental variable estimation,Provision of microcredit programs to rural households in Vietnam
Quasi-experimental,Instrumental variable estimation,Belt and Road Initiative-related infrastructure investments in African countries
Experimental,Randomised controlled trial,"Randomized positive, negative, or neutral information messages about waste sorting"
Experimental,Randomised controlled trial,Provision of monitoring devices and data access to minibus owners via mobile app
Quasi-experimental,Fixed effects (incl. DiD),Conversion from surface to drip irrigation in onion cultivation
Quasi-experimental,Difference-in-Differences,Establishment of Special Economic Zones in India
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the Forest Carbon Sink Project in impoverished Chinese counties
Quasi-experimental,Synthetic control,Participation in the Belt and Road Initiative (BRI) by India
Quasi-experimental,Fixed effects (incl. DiD),Expansion of socialized agricultural services across Chinese provinces
Experimental,Randomised controlled trial,Behaviorally informed tax letters sent to property taxpayers
Quasi-experimental,Fixed effects (incl. DiD),Implementation of agricultural support and protection subsidy policies in China
Quasi-experimental,Regression discontinuity design,Implementation of the New Rural Pension Scheme among rural elderly in China
Experimental,Randomised controlled trial,Providing agricultural information to smallholder cassava farmers in Ethiopia
Quasi-experimental,Statistical matching,Establishing protected areas with varying management regimes to prevent deforestation
Experimental,Randomised controlled trial,Nudging taxpayers with targeted messages to increase tax amnesty participation and debt repayment
Quasi-experimental,Fixed effects (incl. DiD),Expansion of mobile phone network coverage in rural areas
Quasi-experimental,Synthetic control,"Certification and support of mangrove community forestry in the Ayeyarwady Delta, Myanmar"
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a national minimum wage policy across Malaysian states
Quasi-experimental,Fixed effects (incl. DiD),Construction of utility-scale wind and solar parks in Brazilian municipalities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of India’s Insolvency and Bankruptcy Code (IBC) in 2016
Experimental,Randomised controlled trial,Education and price subsidies for proper kitchen towel use in rural China households
Quasi-experimental,Instrumental variable estimation,Agricultural knowledge and technical training provided to farmers
Quasi-experimental,Fixed effects (incl. DiD),Establishment of protected areas and implementation of regional conservation policies
Quasi-experimental,Statistical matching,Reform of rural collective property rights in Chinese rural regions
Quasi-experimental,Fixed effects (incl. DiD),Subsidizing crop insurance premiums for farming households
Quasi-experimental,Statistical matching,"Disaster resettlement program for smallholder households in Southern Shaanxi, China"
Quasi-experimental,Statistical matching,Universal Child Allowance conditional cash transfers to families with children
Experimental,Randomised controlled trial,Providing site-specific soil quality information to optimize fertilizer use
Quasi-experimental,Fixed effects (incl. DiD),Exposure to early childhood education among village leaders
Experimental,Randomised controlled trial,Weekly science workshops for primary school girls
Quasi-experimental,Fixed effects (incl. DiD),Installation of renewable energy plants in selected municipalities under PROINFA
Quasi-experimental,Fixed effects (incl. DiD),Large-scale poverty alleviation funding to 14 destitute regions in China
Experimental,Randomised controlled trial,"Edutainment promoting delayed child marriage, targeted at men, women, or both"
Quasi-experimental,Instrumental variable estimation,Government antipoverty policies and promotion of household commercialisation activities
Quasi-experimental,Regression discontinuity design,Paid maternity leave for mothers until child turns one year old
Quasi-experimental,Statistical matching,Implementation of the 'Literacy for Empowerment' adult education program in Morocco
Quasi-experimental,Fixed effects (incl. DiD),Reduction of corporate income tax rates in selected Turkish regions
Quasi-experimental,Statistical matching,Subsidized agricultural inputs to smallholder farmers during the COVID-19 pandemic
Quasi-experimental,Fixed effects (incl. DiD),Expansion of village banking program to increase rural financial supply
Experimental,Randomised controlled trial,Random assignment of gender quotas to local village councils in India
Quasi-experimental,Difference-in-Differences,Allowing lump-sum withdrawals instead of annuity in private pension retirement benefits
Quasi-experimental,Fixed effects (incl. DiD),Adoption of modern agricultural methods via CSR-led farmer programs
Quasi-experimental,Instrumental variable estimation,"Provision of farm input subsidies, cash transfers, and irrigation investments to households"
Quasi-experimental,Fixed effects (incl. DiD),Construction of farm ponds under the MGNREGA scheme
Experimental,Randomised controlled trial,Introduce productivity-enhancing methods plus informational nudges to kiln owners to incentivize better labor conditions
Quasi-experimental,Fixed effects (incl. DiD),Reduction in capital goods tariffs via trade liberalization in Colombia
Quasi-experimental,Fixed effects (incl. DiD),Information dissemination on good agricultural practices via the Sustainable Agricultural Production Programme
Quasi-experimental,Fixed effects (incl. DiD),Cash transfers through the Cartão Mais Infância Ceará program to eligible families
Quasi-experimental,Interrupted time series analysis,Implementation of a national fiscal austerity policy in 2015
Quasi-experimental,Fixed effects (incl. DiD),Reduction in pension insurance contribution rates for Chinese firms
Experimental,Randomised controlled trial,Mandating full-forest enrollment in PES contracts compared to traditional selective enrollment
Quasi-experimental,Instrumental variable estimation,Implementation of higher minimum wage policies in Chinese counties
Quasi-experimental,Fixed effects (incl. DiD),Provision of off-grid solar energy for cotton yarn production
Quasi-experimental,Statistical matching,Provision of wage subsidies to facilitate employment for job seekers
Quasi-experimental,Fixed effects (incl. DiD),Broadcasting MTV Shuga Naija drama to promote gender equality and address sexual violence
Quasi-experimental,Instrumental variable estimation,Reduction of tariffs in capital-intensive importing sectors
Quasi-experimental,Statistical matching,Legal formalization of community-based forest management rights
Quasi-experimental,Fixed effects (incl. DiD),Imposition of a debt-to-equity cap limiting firms’ debt tax benefits
Quasi-experimental,Statistical matching,Urban Productive Safety Net Program for poor households in Dessie city
Quasi-experimental,Statistical matching,Use of mobile money services by households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of trading permit requirements for informal sector workers
Quasi-experimental,Synthetic control,Imposition of international economic sanctions on Iran post-2012
Quasi-experimental,Fixed effects (incl. DiD),Allocation of rural credit across Brazilian municipalities for livestock activities
Quasi-experimental,Fixed effects (incl. DiD),Conditional cash transfers to adolescent girls for education and delayed marriage
Quasi-experimental,Instrumental variable estimation,IMF program participation and size of IMF disbursements to low-income countries
Experimental,Randomised controlled trial,Integrated poverty reduction program for low-income households
Quasi-experimental,Statistical matching,Apprehension of criminal group leaders under the kingpin strategy
Experimental,Randomised controlled trial,Ethics and integrity training for police officers in Ghana
Quasi-experimental,Fixed effects (incl. DiD),Land expropriation of farmland from neighboring villagers
Quasi-experimental,Fixed effects (incl. DiD),Expansion of social safety nets and cash transfer programs during COVID-19
Quasi-experimental,Statistical matching,Establishment of mining projects in the Benishangul-Gumuz Region
Quasi-experimental,Fixed effects (incl. DiD),International economic sanctions imposed on Russia in 2014
Experimental,Randomised controlled trial,"School-based water, hygiene, and handwashing improvements with behavior change promotion"
Quasi-experimental,Fixed effects (incl. DiD),Construction of surface water infrastructure under a rural public works program
Quasi-experimental,Regression discontinuity design,Forced cotton cultivation imposed by colonial authorities between 1926 and 1961
Quasi-experimental,Fixed effects (incl. DiD),Reform of Egypt’s customs policies to enhance trade within economic blocs
Experimental,Randomised controlled trial,Incentivized savings with financial and relationship education for couples living with HIV
Quasi-experimental,Fixed effects (incl. DiD),Construction of household toilets under the Swachh Bharat Mission
Experimental,Randomised controlled trial,Randomized labour inspections of SMEs in Chile
Experimental,Randomised controlled trial,Introduced operational practices to improve brick kiln energy efficiency and reduce emissions
Experimental,Randomised controlled trial,Provision of local public infrastructure in randomly selected neighborhoods
Experimental,Randomised controlled trial,Random enforcement of OSH committee mandate in Bangladeshi garment factories
Quasi-experimental,Fixed effects (incl. DiD),Introduction of risk-based case selection for firm tax examinations in Tanzania
Quasi-experimental,Instrumental variable estimation,Allocation of fiscal poverty alleviation funds to Chinese provinces
Quasi-experimental,Synthetic control,Graduation of poor counties from China’s National Poor Counties anti-poverty program
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's Targeted Poverty Alleviation policy for specific households
Quasi-experimental,Fixed effects (incl. DiD),Increased environmental law enforcement in municipalities with high deforestation rates
Quasi-experimental,Instrumental variable estimation,Implementation of land titling programs for rural households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of agricultural policy interventions in Hoar wetland areas
Other,Other,Various strategies to increase evidence use in policymaking by policymakers
Qualitative,Other,Distribution of conditional and unconditional cash transfers to poor households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of a comprehensive agricultural water use reform policy
Quasi-experimental,Fixed effects (incl. DiD),Shifting agricultural subsidies to payments based on actual operational area
Quasi-experimental,Instrumental variable estimation,Graduation from the IDA income threshold reducing foreign aid received
Experimental,Randomised controlled trial,Phone-based caregiver support and parenting program for Syrian and Jordanian families
Experimental,Randomised controlled trial,Installation of concrete floors in rural homes with soil floors
Quasi-experimental,Fixed effects (incl. DiD),Unconditional cash transfers to disadvantaged households through BISP program
Quasi-experimental,Statistical matching,Contract governance agreements between farmers and cooperatives to regulate antimicrobial use
Quasi-experimental,Fixed effects (incl. DiD),Implementation of long-term care insurance pilot policies in select Chinese regions
Experimental,Randomised controlled trial,Social innovation programming to support rural households' economic activities in Peru
Experimental,Randomised controlled trial,Family therapy provided to mothers with conflict-related PTSD and their children
Quasi-experimental,Regression discontinuity design,Simplification of tax processes for small businesses in Indonesia
Quasi-experimental,Statistical matching,Financial incentives provided for corporate research and development activities
Quasi-experimental,Fixed effects (incl. DiD),FDI inflows into regions with varying institutional quality
Quasi-experimental,Fixed effects (incl. DiD),Increased Chinese FDI into African countries
Quasi-experimental,Fixed effects (incl. DiD),Provision of agricultural social services to farming households
Quasi-experimental,Instrumental variable estimation,Trade liberalization policies implemented in Pakistan from 1988 to 2005
Quasi-experimental,Other,"China–Africa cooperation via eco-innovation, investment, and trade"
Quasi-experimental,Interrupted time series analysis,Introduction of Uber ride-sharing services in Brazilian capital cities
Quasi-experimental,Instrumental variable estimation,Productive social safety net providing cash transfers and public works to poor households
Experimental,Randomised controlled trial,Multi-faceted training for financial inclusion and livelihood given to CCT beneficiaries
Quasi-experimental,Fixed effects (incl. DiD),Deployment of piped water supply infrastructure in rural Senegalese communities
Quasi-experimental,Statistical matching,Livestock and dairy development project (LDDP) support for rural households
Quasi-experimental,Instrumental variable estimation,Government information disclosure about waste disposal facilities
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Chiefdom Land Committees to resolve land disputes
Quasi-experimental,Fixed effects (incl. DiD),WaSH kits plus health education delivered to mothers in tribal villages
Experimental,Randomised controlled trial,Web-based GlobalConsent sexual violence prevention for university men in Vietnam
Quasi-experimental,Interrupted time series analysis,Implementation of the Jordanian National Strategy for Women Empowerment (JNSWE) 2013–2017
Quasi-experimental,Statistical matching,Seed price subsidy for rice farmers via Nepal’s universal seed subsidy programme
Quasi-experimental,Regression discontinuity design,Provision of rural road access to agricultural communities
Quasi-experimental,Instrumental variable estimation,Anchor Borrower Program providing support to rice farming households
Quasi-experimental,Difference-in-Differences,Implementation of deposit insurance in Chinese banks
Quasi-experimental,Statistical matching,Access to Pronaf credit for family farmers in Brazil
Quasi-experimental,Fixed effects (incl. DiD),Chinese investment in energy infrastructure across African countries
Quasi-experimental,Regression discontinuity design,Public investment through the Great Western Development poverty alleviation policy
Qualitative,Other,Resocialization programs for incarcerated and formerly incarcerated women
Qualitative,Other,Ecological forest restoration initiatives including agroforestry and landscape restoration
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the farmland 'Three Rights Separation' (TRS) land reform in China
Quasi-experimental,Fixed effects (incl. DiD),Chinese investments in African countries’ energy sectors
Quasi-experimental,Fixed effects (incl. DiD),Establishment of special economic zones in selected districts
Quasi-experimental,Fixed effects (incl. DiD),Targeted Poverty Alleviation program providing microcredit to poor households
Quasi-experimental,Fixed effects (incl. DiD),Establishment of national marine pasture demonstration zones in coastal provinces
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Targeted Poverty Alleviation policy for poor older adults
Experimental,Randomised controlled trial,Information campaigns on social and economic consequences of agricultural burning
Quasi-experimental,Regression discontinuity design,Implementation of a natural forest logging ban in Northeast China
Quasi-experimental,Fixed effects (incl. DiD),Implementation of rural revitalization assistance policy in disadvantaged villages
Quasi-experimental,Instrumental variable estimation,Lottery-based allocation of taxi permits to earthquake-affected households
Quasi-experimental,Regression discontinuity design,Imposition of the first COVID-19 lockdown in Madagascar
Quasi-experimental,Fixed effects (incl. DiD),Reallocation of water via China’s South-to-North Water Diversion Project
Quasi-experimental,Instrumental variable estimation,Provision of farm input subsidies to households
Quasi-experimental,Fixed effects (incl. DiD),Establishment of Chinese Agricultural Technology Demonstration Centers in African countries
Quasi-experimental,Statistical matching,Participation of farmers in contract farming schemes for red chilli
Quasi-experimental,Fixed effects (incl. DiD),Appointments of officials by the president to high-level administrative positions
Quasi-experimental,Instrumental variable estimation,Expansion of household access to electricity
Quasi-experimental,Fixed effects (incl. DiD),EU grant funding for Bulgarian SMEs via 'Innovation and Competitiveness' programme
Quasi-experimental,Fixed effects (incl. DiD),Implementation of the 2014 Law on Environmental Protection for Vietnamese SMEs
Quasi-experimental,Instrumental variable estimation,Promotion of Agricultural Stakeholder Panels to improve rural extension services
Quasi-experimental,Statistical matching,Implementation of value chain development programme for rice farmers
Quasi-experimental,Fixed effects (incl. DiD),"Producer organization contract farming for avocados, including training and certification"
Experimental,Randomised controlled trial,Installation of low-cost kitchen with improved cookstove for pregnant women
Quasi-experimental,Statistical matching,Work-sharing program with wage subsidies during economic downturn
Quasi-experimental,Fixed effects (incl. DiD),"Cash transfers to pregnant and lactating women, conditional on health center visits"
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China’s 2015 Water Pollution Control and Prevention Action Plan
Quasi-experimental,Fixed effects (incl. DiD),Reservation of electoral seats for Scheduled Castes in Indian districts
Quasi-experimental,Fixed effects (incl. DiD),Promotion of farmland transfer among agricultural producers
Quasi-experimental,Other,Support for women's engagement in agricultural value chains
Experimental,Randomised controlled trial,Music intervention for women with perinatal depressive symptoms
Qualitative,Other,Educational-based programs to reduce adolescent interpersonal violence globally
Qualitative,Other,Digital health technology for HIV self-management among adolescents in LMICs
Qualitative,Other,Facility-based measures to improve respectful maternity care and reduce obstetric violence
Qualitative,Other,Educational and multicomponent programs to increase HPV vaccination uptake
Qualitative,Other,Mapping delivery platforms for adolescent nutrition services in LMICs
Quasi-experimental,Other,Community health worker-facilitated delivery of malaria preventive treatment to pregnant women
Experimental,Randomised controlled trial,Distributing HIV self-testing kits via social network strategies
Other,Other,Quality improvement packages for intrapartum care to reduce stillbirths and adverse outcomes
Qualitative,Other,Implementation of metrological assurance systems for medical devices
Qualitative,Other,Training healthcare workers in infection prevention and control in fragile settings
Experimental,Randomised controlled trial,Distribution of menstrual products and menstrual hygiene education to schoolgirls
Other,Other,"Varied interventions for adolescent mental, sexual, and reproductive health in West Africa"
Qualitative,Other,Non-specialists provide psycho-social support to rural women with perinatal depression
Quasi-experimental,Instrumental variable estimation,Increased Chinese official finance commitments to African countries during armed conflict
Quasi-experimental,Fixed effects (incl. DiD),Changes in double tax treaty relief methods and tax-sparing provisions
Experimental,Randomised controlled trial,Combination social work intervention to improve family cohesion among adolescent girls
Experimental,Randomised controlled trial,Implementation of the Strengthening Families Program for families in Brazilian municipalities
Quasi-experimental,Statistical matching,"Publicly funded business acceleration program for new ventures in Medellin, Colombia"
Quasi-experimental,Interrupted time series analysis,Implementation of the Algae Monitoring and Control Program in Qingcaosha Reservoir
Quasi-experimental,Fixed effects (incl. DiD),Relocating rural households under the Poverty Alleviation Relocation Program
Quasi-experimental,Fixed effects (incl. DiD),Implementation of COVID-19 lockdown and restriction measures in Lagos
Experimental,Randomised controlled trial,Personalized SMS messages encouraging savings among underbanked individuals
Experimental,Randomised controlled trial,Financial and nonfinancial incentives given to agricultural extension officers
Quasi-experimental,Statistical matching,Provision of credit facilities to poor fish farming communities by NGOs
Quasi-experimental,Instrumental variable estimation,Provision of farm machinery outsourcing services to wheat farmers
Quasi-experimental,Fixed effects (incl. DiD),Raising the legal minimum working age from 14 to 15 in Mexico
Quasi-experimental,Fixed effects (incl. DiD),Distribution of agricultural input vouchers to farming households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of target price subsidy for soybean and cotton farmers
Quasi-experimental,Fixed effects (incl. DiD),Provision of subsidized rice and conditional cash transfers to poor Indonesian households
Experimental,Randomised controlled trial,Seed adoption programs implemented via women self-help groups
Experimental,Randomised controlled trial,Online safety education program for junior high school students
Quasi-experimental,Regression discontinuity design,Government legal protection of forested land
Experimental,Randomised controlled trial,PICHA7 WASH pictorial module and soapy water bottle delivered to patients and attendants
Quasi-experimental,Statistical matching,Participation in self-help groups under the National Rural Livelihood Mission
Quasi-experimental,Fixed effects (incl. DiD),Implementation of high-standard farmland construction policies in China
Quasi-experimental,Fixed effects (incl. DiD),National conditional cash transfer program for low-income households
Quasi-experimental,Fixed effects (incl. DiD),Announcement of a coca crop substitution program (PNIS) after Colombia’s peace agreement
Experimental,Randomised controlled trial,Providing households with non-price energy conservation information via varied messaging approaches
Quasi-experimental,Statistical matching,Working capital loan program by BICE during the COVID-19 crisis
Quasi-experimental,Regression discontinuity design,Extension of paid maternity leave from 12 to 26 weeks in large establishments
Quasi-experimental,Fixed effects (incl. DiD),Provision of rainwater harvesting cisterns to family farmers
Quasi-experimental,Fixed effects (incl. DiD),Public procurement of food from family farmers via the PAA program
Quasi-experimental,Fixed effects (incl. DiD),Producer Support Grant cash transfers to eligible Ukrainian farmers
Experimental,Randomised controlled trial,Virtual antenatal counseling via video call during routine ANC for pregnant women
Quasi-experimental,Fixed effects (incl. DiD),"Integrated resilience programme with food, health, education, and cash transfers over four years"
Quasi-experimental,Fixed effects (incl. DiD),Distribution of food and cash transfers to refugee and host communities during COVID-19
Quasi-experimental,Difference-in-Differences,Distribution of food rations to internally displaced persons during the dry season
Experimental,Randomised controlled trial,Life skills training on financial management for humanitarian aid recipients
Quasi-experimental,Fixed effects (incl. DiD),Provision of 6 months of rental support to internally-displaced households
Quasi-experimental,Fixed effects (incl. DiD),Reintroduction of sorghum cultivation to improve climate-resilient food security
Quasi-experimental,Fixed effects (incl. DiD),Cash transfers and water filters for vulnerable households
Experimental,Randomised controlled trial,Anticipatory cash transfers to pastoralist households before extreme winter disasters
Quasi-experimental,Fixed effects (incl. DiD),Unconditional cash transfers to vulnerable households before anticipated severe flooding
Quasi-experimental,Fixed effects (incl. DiD),Implementation of grain price support policy in selected regions of China
Experimental,Randomised controlled trial,Educational workshops and RANAS-based SMS messages for safer pesticide handling
Experimental,Randomised controlled trial,Social cash or in-kind transfers to support exclusive breastfeeding among new mothers
Quasi-experimental,Interrupted time series analysis,Criminal justice reform and technological improvements in police crime recording
Quasi-experimental,Fixed effects (incl. DiD),Implementation of public consortia to manage municipal solid waste services
Quasi-experimental,Other,Sixteen-session group-based parenting programme for caregivers in semi-rural Uganda
Quasi-experimental,Fixed effects (incl. DiD),Mandated corporate social responsibility spending post-2013 regulation in India
Experimental,Randomised controlled trial,National parenting program offered to groups of parents through the health system
Quasi-experimental,Statistical matching,Cash transfer plus assistive devices and caregiver support for children with disabilities
Quasi-experimental,Fixed effects (incl. DiD),Allowing beneficiaries to choose from multiple agents for food entitlement collection
Quasi-experimental,Instrumental variable estimation,Training refugees in agricultural production or off-farm business skills
Quasi-experimental,Statistical matching,Holistic rural development project targeting vulnerability to climate shocks
Experimental,Randomised controlled trial,Weekly motivational interviewing sessions for adolescents
Quasi-experimental,Statistical matching,Entrepreneurship policies supporting back-home migrant workers in China
Experimental,Randomised controlled trial,Perspective-taking exercises delivered to households in Ugandan refugee-hosting communities
Quasi-experimental,Instrumental variable estimation,Provision of climate finance funds to developing countries
Quasi-experimental,Fixed effects (incl. DiD),Allowing firm executives as invitees in audit committee meetings
Quasi-experimental,Fixed effects (incl. DiD),Targeted anti-deforestation enforcement via increased monitoring using satellite alerts
Quasi-experimental,Interrupted time series analysis,Ban on male passengers on motorcycles to prevent homicides
Quasi-experimental,Statistical matching,Providing social learning and extension services on PICS bags to farming households
Quasi-experimental,Fixed effects (incl. DiD),Policy adjustment expanding high-level agricultural insurance coverage across provinces
Quasi-experimental,Fixed effects (incl. DiD),Community management of forest reserves by local villagers
Quasi-experimental,Fixed effects (incl. DiD),Fiscal support provided to Chinese farms for agricultural production
Quasi-experimental,Fixed effects (incl. DiD),Implementation of China's National Development Plan for Children in Poor Areas (2014–2020)
Experimental,Randomised controlled trial,Remote early learning and parenting support via WhatsApp for refugee caregivers and children
Quasi-experimental,Fixed effects (incl. DiD),Implementation of agricultural insurance policies in Chinese provinces
Quasi-experimental,Fixed effects (incl. DiD),"Expansion of affordable, full-day preschools with meals and health services"
Quasi-experimental,Statistical matching,Government stimulus packages provided to businesses during COVID-19
Quasi-experimental,Fixed effects (incl. DiD),"Implementation of the Perform, Achieve and Trade cap-and-trade scheme for industries"
Experimental,Randomised controlled trial,Abbreviated personal agency training for refugee women and their male partners
Quasi-experimental,Statistical matching,"Participation in smallholder, farmer-managed irrigation schemes"
Quasi-experimental,Statistical matching,Provision and use of small-scale irrigation systems for rural farm households
Quasi-experimental,Fixed effects (incl. DiD),Implementation of rural land three rights separation policy in China
Qualitative,Other,Criminal justice initiatives supporting sexual violence investigation and prosecution in East Africa
Qualitative,Other,Systematic review of prevention interventions against violence towards women and girls
Qualitative,Other,Non-formal entrepreneurship training programmes for aspiring entrepreneurs
Qualitative,Other,Environmental road safety measures such as speed reduction and improved pedestrian visibility
Experimental,Randomised controlled trial,Parenting interventions to reduce violence against children in humanitarian settings
Quasi-experimental,Fixed effects (incl. DiD),Allowing private traders to buy from farmers plus public procurement at minimum support price
Experimental,Randomised controlled trial,Behaviour change campaign promoting iodized salt use among Ethiopian households
Quasi-experimental,Instrumental variable estimation,Universal Primary Education program implementation in Malawi
Quasi-experimental,Fixed effects (incl. DiD),Implementation of water resources tax in selected pilot provinces
Quasi-experimental,Fixed effects (incl. DiD),Implementation of crop rotation and fallow system in Chinese agriculture
Quasi-experimental,Fixed effects (incl. DiD),Cash Waqf Linked Sukuk empowerment programs for selected communities
Quasi-experimental,Fixed effects (incl. DiD),Pilot policy subsidizing use of plant protection UAVs for agriculture
Experimental,Randomised controlled trial,"Sending deterrence, information, or simplification letters to taxpayers owing penalties"
Quasi-experimental,Fixed effects (incl. DiD),Implementation of Targeted Poverty Alleviation policies in selected regions
Quasi-experimental,Statistical matching,Membership in a rural social enterprise among smallholder farmers
Experimental,Randomised controlled trial,Provision of hermetic grain storage bags to maize farmers
